epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5642,1.32096,2.0565,1.33787,0.50205,0.63869,0.54173,0.29683,1.39611,1.46804,1.37373,0.000247826,0.000247826,0.000247826
2,161.762,1.32372,1.51273,1.29482,0.37465,0.4141,0.32252,0.18569,1.62669,2.17829,1.57568,0.000497772,0.000497772,0.000497772
3,231.191,1.39201,1.57733,1.35583,0.37844,0.57153,0.39075,0.22128,1.48227,2.57212,1.45057,0.000747501,0.000747501,0.000747501
4,300.453,1.37612,1.54551,1.35215,0.37561,0.46025,0.36614,0.20139,1.61146,2.65196,1.53887,0.000996851,0.000996851,0.000996851
5,369.549,1.39431,1.5325,1.36009,0.41559,0.54151,0.45402,0.26829,1.44742,1.80614,1.42826,0.00124566,0.00124566,0.00124566
6,438.475,1.37321,1.49326,1.36584,0.42688,0.55925,0.45692,0.25481,1.52718,2.03052,1.49698,0.00124661,0.00124661,0.00124661
7,507.668,1.35279,1.44944,1.35415,0.4579,0.63773,0.51195,0.30681,1.37889,1.56067,1.39229,0.00124512,0.00124512,0.00124512
8,576.882,1.30244,1.38946,1.32409,0.48612,0.69689,0.57236,0.34993,1.33263,1.30711,1.3235,0.00124336,0.00124336,0.00124336
9,645.992,1.3059,1.37525,1.31497,0.43287,0.6545,0.53693,0.32197,1.35708,1.6067,1.36535,0.00124134,0.00124134,0.00124134
10,715.021,1.27819,1.33027,1.30096,0.5063,0.67942,0.57386,0.36082,1.29319,1.33921,1.30749,0.00123904,0.00123904,0.00123904
11,784.189,1.23966,1.26301,1.27158,0.49515,0.60658,0.55188,0.3448,1.28227,1.34758,1.30902,0.00123648,0.00123648,0.00123648
12,853.155,1.25294,1.25565,1.28219,0.56026,0.6551,0.61385,0.37875,1.32162,1.20764,1.31782,0.00123365,0.00123365,0.00123365
13,922.256,1.23212,1.25449,1.26129,0.49556,0.74473,0.6205,0.38856,1.30594,1.22209,1.32109,0.00123056,0.00123056,0.00123056
14,991.472,1.23932,1.23016,1.26985,0.52025,0.74712,0.61948,0.39832,1.25227,1.21734,1.29295,0.00122721,0.00122721,0.00122721
15,1060.61,1.2111,1.20746,1.25928,0.50279,0.64878,0.55173,0.33905,1.30864,1.28692,1.30907,0.00122359,0.00122359,0.00122359
16,1129.5,1.20553,1.20374,1.24976,0.46216,0.671,0.57506,0.37197,1.2239,1.25708,1.24667,0.00121972,0.00121972,0.00121972
17,1198.46,1.19701,1.1857,1.2393,0.52276,0.69305,0.61689,0.39393,1.22687,1.20535,1.24683,0.00121558,0.00121558,0.00121558
18,1267.31,1.18423,1.1753,1.2276,0.55595,0.71394,0.64011,0.41883,1.22719,1.13973,1.23503,0.00121119,0.00121119,0.00121119
19,1336.5,1.17274,1.14552,1.21286,0.55806,0.72111,0.65091,0.41926,1.24744,1.17119,1.2578,0.00120655,0.00120655,0.00120655
20,1405.65,1.18738,1.15696,1.23731,0.54782,0.71513,0.62977,0.40259,1.25107,1.15841,1.25735,0.00120165,0.00120165,0.00120165
21,1474.4,1.15774,1.13921,1.21765,0.54842,0.73116,0.656,0.41789,1.29008,1.09566,1.29601,0.00119651,0.00119651,0.00119651
22,1543.41,1.15379,1.10937,1.21832,0.53047,0.70471,0.64037,0.41327,1.24248,1.19131,1.26185,0.00119111,0.00119111,0.00119111
23,1612.3,1.16926,1.13588,1.22853,0.54618,0.74486,0.66833,0.42276,1.27881,1.0938,1.27757,0.00118547,0.00118547,0.00118547
24,1681.57,1.15727,1.10336,1.21572,0.55613,0.69801,0.65059,0.42313,1.22592,1.10622,1.23604,0.00117959,0.00117959,0.00117959
25,1750.64,1.15231,1.1141,1.20786,0.54681,0.74942,0.66737,0.43905,1.1958,1.0759,1.2356,0.00117346,0.00117346,0.00117346
26,1819.67,1.13544,1.07501,1.18837,0.54441,0.7483,0.65641,0.42888,1.19469,1.06923,1.21748,0.0011671,0.0011671,0.0011671
27,1888.81,1.13767,1.07108,1.20014,0.56939,0.71372,0.66743,0.44427,1.18907,1.05972,1.21351,0.00116051,0.00116051,0.00116051
28,1957.91,1.13498,1.08796,1.19764,0.56427,0.71446,0.66467,0.42036,1.27933,1.15013,1.29358,0.00115368,0.00115368,0.00115368
29,2026.64,1.15703,1.07663,1.21353,0.54237,0.75336,0.66065,0.43428,1.17685,1.0751,1.23076,0.00114662,0.00114662,0.00114662
30,2095.63,1.10416,1.03856,1.18122,0.56512,0.71862,0.66919,0.42987,1.24154,1.09331,1.25927,0.00113934,0.00113934,0.00113934
31,2164.62,1.10097,1.04469,1.17605,0.56789,0.72606,0.66745,0.43575,1.20823,1.10162,1.25286,0.00113183,0.00113183,0.00113183
32,2233.67,1.10338,1.03116,1.17883,0.58733,0.70413,0.67384,0.443,1.20224,1.0472,1.22991,0.0011241,0.0011241,0.0011241
33,2302.55,1.10013,1.01428,1.16787,0.5901,0.69872,0.65947,0.42635,1.21358,1.10033,1.24102,0.00111616,0.00111616,0.00111616
34,2371.43,1.1001,1.05054,1.17488,0.54963,0.75674,0.65777,0.43354,1.19409,1.05423,1.21178,0.00110801,0.00110801,0.00110801
35,2440.24,1.09648,1.02263,1.17478,0.55506,0.7523,0.68484,0.45914,1.16273,1.03446,1.20511,0.00109964,0.00109964,0.00109964
36,2509.33,1.09588,1.03592,1.16677,0.57521,0.74739,0.67549,0.43584,1.24836,1.03245,1.25816,0.00109107,0.00109107,0.00109107
37,2578.17,1.08584,1.01671,1.16036,0.57722,0.74154,0.69617,0.44874,1.21634,1.01942,1.23462,0.0010823,0.0010823,0.0010823
38,2646.95,1.08654,1.00884,1.17168,0.57277,0.7335,0.68153,0.44868,1.17435,1.05141,1.21474,0.00107333,0.00107333,0.00107333
39,2715.85,1.06741,0.9716,1.15826,0.59366,0.69916,0.67923,0.44253,1.19991,1.03358,1.22572,0.00106417,0.00106417,0.00106417
40,2784.8,1.07411,0.97514,1.15833,0.59942,0.70185,0.69773,0.46009,1.14734,1.02081,1.21115,0.00105481,0.00105481,0.00105481
41,2853.88,1.06428,0.96184,1.14954,0.62402,0.68292,0.69271,0.45059,1.20875,1.09106,1.22382,0.00104527,0.00104527,0.00104527
42,2922.88,1.05882,0.96845,1.1483,0.56523,0.75444,0.69347,0.46399,1.15652,1.01555,1.20075,0.00103555,0.00103555,0.00103555
43,2992,1.06668,0.96962,1.15914,0.58934,0.74479,0.69048,0.4591,1.17919,1.01874,1.21363,0.00102566,0.00102566,0.00102566
44,3060.92,1.05821,0.96509,1.14825,0.57777,0.74127,0.68422,0.45928,1.14464,1.02847,1.19957,0.00101559,0.00101559,0.00101559
45,3129.63,1.04751,0.95864,1.14557,0.55368,0.75457,0.68028,0.45441,1.1645,1.03612,1.2021,0.00100535,0.00100535,0.00100535
46,3198.52,1.04648,0.95069,1.14418,0.57801,0.74712,0.69668,0.45076,1.21187,1.00211,1.23821,0.000994942,0.000994942,0.000994942
47,3267.22,1.03342,0.92247,1.13077,0.58777,0.72078,0.68558,0.45946,1.16917,1.04271,1.2058,0.000984379,0.000984379,0.000984379
48,3336.09,1.02912,0.92231,1.13872,0.57909,0.73677,0.68874,0.4575,1.16964,1.04115,1.21728,0.000973661,0.000973661,0.000973661
49,3404.87,1.0351,0.9309,1.13419,0.58058,0.70517,0.68031,0.45537,1.14109,1.01495,1.19303,0.000962793,0.000962793,0.000962793
50,3473.74,1.03194,0.91178,1.1264,0.57397,0.72949,0.68283,0.45651,1.16029,1.0427,1.20189,0.000951779,0.000951779,0.000951779
51,3542.54,1.02743,0.91052,1.12513,0.58708,0.74057,0.68324,0.45858,1.14729,1.00478,1.20946,0.000940625,0.000940625,0.000940625
52,3611.51,1.01802,0.89939,1.12705,0.60145,0.71437,0.68356,0.45184,1.1901,1.02276,1.21795,0.000929335,0.000929335,0.000929335
53,3680.49,1.00901,0.88645,1.12405,0.56346,0.75687,0.66518,0.44873,1.12219,1.04242,1.19417,0.000917914,0.000917914,0.000917914
54,3749.25,1.0149,0.88384,1.12021,0.57506,0.75669,0.69638,0.46156,1.16685,0.99959,1.22476,0.000906368,0.000906368,0.000906368
55,3818.15,1.00737,0.89706,1.11303,0.55155,0.76382,0.68879,0.45621,1.1709,1.01668,1.21,0.000894701,0.000894701,0.000894701
56,3886.99,1.00127,0.87923,1.10635,0.59786,0.72536,0.68889,0.45499,1.17247,1.02873,1.20928,0.000882918,0.000882918,0.000882918
57,3955.84,0.99724,0.86115,1.11074,0.58326,0.73893,0.68421,0.46208,1.13553,1.02309,1.19679,0.000871025,0.000871025,0.000871025
58,4024.7,0.98884,0.86528,1.11173,0.57158,0.76203,0.68412,0.46632,1.1397,1.03203,1.19384,0.000859027,0.000859027,0.000859027
59,4093.84,0.9839,0.84216,1.10636,0.5516,0.76534,0.6628,0.4544,1.09433,1.04277,1.18069,0.000846929,0.000846929,0.000846929
60,4162.56,0.98557,0.85576,1.10589,0.597,0.70939,0.68121,0.44357,1.19575,1.00977,1.22302,0.000834736,0.000834736,0.000834736
61,4231.39,0.98234,0.84976,1.10369,0.59952,0.71655,0.67987,0.45711,1.13202,1.03184,1.19439,0.000822454,0.000822454,0.000822454
62,4300.23,0.98272,0.84105,1.10364,0.58831,0.71593,0.68773,0.46933,1.11288,1.01022,1.19714,0.000810088,0.000810088,0.000810088
63,4369.3,0.97844,0.84932,1.1094,0.61577,0.71606,0.69321,0.4677,1.13531,1.00515,1.19176,0.000797644,0.000797644,0.000797644
64,4438.08,0.97303,0.82133,1.09759,0.59614,0.72141,0.68244,0.46244,1.13978,1.01998,1.20394,0.000785127,0.000785127,0.000785127
65,4506.99,0.96465,0.81124,1.09822,0.60237,0.71039,0.69493,0.47233,1.1308,1.02406,1.2032,0.000772542,0.000772542,0.000772542
66,4576.05,0.96328,0.81515,1.10193,0.57787,0.74323,0.67238,0.44334,1.1927,1.03934,1.22253,0.000759895,0.000759895,0.000759895
67,4644.97,0.94341,0.79823,1.08353,0.55211,0.755,0.66582,0.44197,1.15585,1.07309,1.19673,0.000747192,0.000747192,0.000747192
68,4713.9,0.93975,0.7798,1.07804,0.59105,0.71566,0.67364,0.45302,1.1359,1.03263,1.2046,0.000734438,0.000734438,0.000734438
69,4782.64,0.94818,0.79052,1.09188,0.60383,0.72396,0.68081,0.45488,1.16475,1.03809,1.20507,0.000721639,0.000721639,0.000721639
